Knot;Braid length;HOMFLY homology;Elapsed time;Bigint
9_11;9;t^7q^{-2}a^{-8} + 2t^6q^{-4}a^{-6} + t^5q^2a^{-8} + 2t^5q^{-2}a^{-6} + t^5q^{-6}a^{-4} + 3t^4a^{-6} + 2t^4q^{-4}a^{-4} + 2t^3q^2a^{-6} + 3t^3q^{-2}a^{-4} + 2t^2q^4a^{-6} + 3t^2a^{-4} + t^2q^{-4}a^{-2} + 3tq^2a^{-4} + tq^{-2}a^{-2} + 2q^4a^{-4} + a^{-2} + t^{-1}q^6a^{-4} + t^{-1}q^2a^{-2} + t^{-2}q^4a^{-2};0:00.29;False
9_12;10;t^7a^{-8} + 2t^6q^{-2}a^{-6} + 2t^5a^{-6} + t^5q^{-4}a^{-4} + 2t^4q^2a^{-6} + 3t^4q^{-2}a^{-4} + 5t^3a^{-4} + t^3q^{-4}a^{-2} + 3t^2q^2a^{-4} + 3t^2q^{-2}a^{-2} + tq^4a^{-4} + 4ta^{-2} + 3q^2a^{-2} + q^{-2} + t^{-1}q^4a^{-2} + t^{-1} + t^{-2}q^2;0:00.57;False
9_13;11;q^{-4}a^4 + 2t^{-1}q^{-2}a^4 + 2t^{-2}a^4 + 2t^{-2}q^{-4}a^6 + 2t^{-3}q^2a^4 + 3t^{-3}q^{-2}a^6 + t^{-4}q^4a^4 + 5t^{-4}a^6 + t^{-4}q^{-4}a^8 + 3t^{-5}q^2a^6 + 3t^{-5}q^{-2}a^8 + 2t^{-6}q^4a^6 + 3t^{-6}a^8 + 3t^{-7}q^2a^8 + t^{-7}q^{-2}a^{10} + t^{-8}q^4a^8 + t^{-8}a^{10} + t^{-9}q^2a^{10};0:01.83;False
9_14;10;t^6a^{-6} + 2t^5q^{-2}a^{-4} + 2t^4a^{-4} + t^4q^{-4}a^{-2} + 2t^3q^2a^{-4} + 3t^3q^{-2}a^{-2} + 5t^2a^{-2} + t^2q^{-4} + 3tq^2a^{-2} + 3tq^{-2} + q^4a^{-2} + 5 + 3t^{-1}q^2 + t^{-1}q^{-2}a^2 + t^{-2}q^4 + 2t^{-2}a^2 + t^{-3}q^2a^2;0:00.65;False
9_15;10;t^7a^{-8} + 2t^6q^{-2}a^{-6} + 3t^5a^{-6} + t^5q^{-4}a^{-4} + 2t^4q^2a^{-6} + 4t^4q^{-2}a^{-4} + 5t^3a^{-4} + t^3q^{-4}a^{-2} + 4t^2q^2a^{-4} + 3t^2q^{-2}a^{-2} + tq^4a^{-4} + 5ta^{-2} + 3q^2a^{-2} + q^{-2} + t^{-1}q^4a^{-2} + t^{-1} + t^{-2}q^2;0:00.49;False
9_16;10;t^9q^{-4}a^{-10} + 2t^8q^{-2}a^{-10} + t^8q^{-6}a^{-8} + 2t^7a^{-10} + 3t^7q^{-4}a^{-8} + 2t^6q^2a^{-10} + 3t^6q^{-2}a^{-8} + t^6q^{-6}a^{-6} + t^5q^4a^{-10} + 5t^5a^{-8} + t^5q^{-4}a^{-6} + 3t^4q^2a^{-8} + 3t^4q^{-2}a^{-6} + 3t^3q^4a^{-8} + 2t^3a^{-6} + t^2q^6a^{-8} + 3t^2q^2a^{-6} + tq^4a^{-6} + q^6a^{-6};0:00.65;False
9_17;9;t^4q^{-2}a^{-2} + 2t^3q^{-4} + t^2q^2a^{-2} + 2t^2q^{-2} + t^2q^{-6}a^2 + 3t + 2tq^{-4}a^2 + 2q^2 + 4q^{-2}a^2 + 2t^{-1}q^4 + 4t^{-1}a^2 + t^{-1}q^{-4}a^4 + 4t^{-2}q^2a^2 + 2t^{-2}q^{-2}a^4 + 2t^{-3}q^4a^2 + 2t^{-3}a^4 + t^{-4}q^6a^2 + 2t^{-4}q^2a^4 + t^{-5}q^4a^4;0:00.43;False
9_18;11;q^{-4}a^4 + 2t^{-1}q^{-2}a^4 + 3t^{-2}a^4 + 2t^{-2}q^{-4}a^6 + 2t^{-3}q^2a^4 + 4t^{-3}q^{-2}a^6 + t^{-4}q^4a^4 + 5t^{-4}a^6 + t^{-4}q^{-4}a^8 + 4t^{-5}q^2a^6 + 3t^{-5}q^{-2}a^8 + 2t^{-6}q^4a^6 + 4t^{-6}a^8 + 3t^{-7}q^2a^8 + t^{-7}q^{-2}a^{10} + t^{-8}q^4a^8 + t^{-8}a^{10} + t^{-9}q^2a^{10};0:01.61;False
9_19;10;t^4a^{-4} + 2t^3q^{-2}a^{-2} + 3t^2a^{-2} + t^2q^{-4} + 2tq^2a^{-2} + 4tq^{-2} + 6 + q^{-4}a^2 + 4t^{-1}q^2 + 3t^{-1}q^{-2}a^2 + t^{-2}q^4 + 5t^{-2}a^2 + 3t^{-3}q^2a^2 + t^{-3}q^{-2}a^4 + t^{-4}q^4a^2 + 2t^{-4}a^4 + t^{-5}q^2a^4;0:00.85;False
9_20;9;t^7q^{-2}a^{-8} + t^6a^{-8} + 2t^6q^{-4}a^{-6} + t^5q^2a^{-8} + 3t^5q^{-2}a^{-6} + t^5q^{-6}a^{-4} + 4t^4a^{-6} + 2t^4q^{-4}a^{-4} + 3t^3q^2a^{-6} + 4t^3q^{-2}a^{-4} + 2t^2q^4a^{-6} + 4t^2a^{-4} + t^2q^{-4}a^{-2} + 4tq^2a^{-4} + tq^{-2}a^{-2} + 2q^4a^{-4} + 2a^{-2} + t^{-1}q^6a^{-4} + t^{-1}q^2a^{-2} + t^{-2}q^4a^{-2};0:00.23;False
9_21;10;t^7a^{-8} + 2t^6q^{-2}a^{-6} + 3t^5a^{-6} + t^5q^{-4}a^{-4} + 2t^4q^2a^{-6} + 4t^4q^{-2}a^{-4} + 6t^3a^{-4} + t^3q^{-4}a^{-2} + 4t^2q^2a^{-4} + 4t^2q^{-2}a^{-2} + tq^4a^{-4} + 5ta^{-2} + 4q^2a^{-2} + q^{-2} + t^{-1}q^4a^{-2} + 2t^{-1} + t^{-2}q^2;0:00.46;False
9_22;9;t^4q^{-2}a^{-2} + 2t^3q^{-4} + t^2q^2a^{-2} + 2t^2q^{-2} + t^2q^{-6}a^2 + 4t + 2tq^{-4}a^2 + 2q^2 + 5q^{-2}a^2 + 2t^{-1}q^4 + 4t^{-1}a^2 + t^{-1}q^{-4}a^4 + 5t^{-2}q^2a^2 + 2t^{-2}q^{-2}a^4 + 2t^{-3}q^4a^2 + 3t^{-3}a^4 + t^{-4}q^6a^2 + 2t^{-4}q^2a^4 + t^{-5}q^4a^4;0:00.41;False
9_23;11;q^{-4}a^4 + 2t^{-1}q^{-2}a^4 + 3t^{-2}a^4 + 2t^{-2}q^{-4}a^6 + 2t^{-3}q^2a^4 + 4t^{-3}q^{-2}a^6 + t^{-4}q^4a^4 + 6t^{-4}a^6 + t^{-4}q^{-4}a^8 + 4t^{-5}q^2a^6 + 4t^{-5}q^{-2}a^8 + 2t^{-6}q^4a^6 + 4t^{-6}a^8 + 4t^{-7}q^2a^8 + t^{-7}q^{-2}a^{10} + t^{-8}q^4a^8 + 2t^{-8}a^{10} + t^{-9}q^2a^{10};0:01.93;False
9_24;9;t^5q^{-2}a^{-4} + 2t^4q^{-4}a^{-2} + t^3q^2a^{-4} + 2t^3q^{-2}a^{-2} + t^3q^{-6} + 5t^2a^{-2} + 2t^2q^{-4} + 2tq^2a^{-2} + 5tq^{-2} + 2q^4a^{-2} + 5 + q^{-4}a^2 + 5t^{-1}q^2 + 2t^{-1}q^{-2}a^2 + 2t^{-2}q^4 + 3t^{-2}a^2 + t^{-3}q^6 + 2t^{-3}q^2a^2 + t^{-4}q^4a^2;0:00.39;False
9_25;10;t^2q^{-2} + t + tq^{-4}a^2 + q^2 + 4q^{-2}a^2 + 5t^{-1}a^2 + 2t^{-1}q^{-4}a^4 + 4t^{-2}q^2a^2 + 4t^{-2}q^{-2}a^4 + t^{-3}q^4a^2 + 7t^{-3}a^4 + 4t^{-4}q^2a^4 + 3t^{-4}q^{-2}a^6 + 2t^{-5}q^4a^4 + 3t^{-5}a^6 + 3t^{-6}q^2a^6 + t^{-7}a^8;0:00.54;False
9_26;9;t^6q^{-2}a^{-6} + t^5a^{-6} + 2t^5q^{-4}a^{-4} + t^4q^2a^{-6} + 3t^4q^{-2}a^{-4} + t^4q^{-6}a^{-2} + 5t^3a^{-4} + 2t^3q^{-4}a^{-2} + 3t^2q^2a^{-4} + 5t^2q^{-2}a^{-2} + 2tq^4a^{-4} + 5ta^{-2} + tq^{-4} + 5q^2a^{-2} + 2q^{-2} + 2t^{-1}q^4a^{-2} + 2t^{-1} + t^{-2}q^6a^{-2} + 2t^{-2}q^2 + t^{-3}q^4;0:00.28;False
9_27;9;t^5q^{-2}a^{-4} + t^4a^{-4} + 2t^4q^{-4}a^{-2} + t^3q^2a^{-4} + 3t^3q^{-2}a^{-2} + t^3q^{-6} + 5t^2a^{-2} + 2t^2q^{-4} + 3tq^2a^{-2} + 5tq^{-2} + 2q^4a^{-2} + 6 + q^{-4}a^2 + 5t^{-1}q^2 + 2t^{-1}q^{-2}a^2 + 2t^{-2}q^4 + 3t^{-2}a^2 + t^{-3}q^6 + 2t^{-3}q^2a^2 + t^{-4}q^4a^2;0:00.40;False
9_28;9;t^6q^{-2}a^{-6} + t^5a^{-6} + 2t^5q^{-4}a^{-4} + t^4q^2a^{-6} + 3t^4q^{-2}a^{-4} + t^4q^{-6}a^{-2} + 6t^3a^{-4} + 2t^3q^{-4}a^{-2} + 3t^2q^2a^{-4} + 6t^2q^{-2}a^{-2} + 2tq^4a^{-4} + 5ta^{-2} + tq^{-4} + 6q^2a^{-2} + 2q^{-2} + 2t^{-1}q^4a^{-2} + 3t^{-1} + t^{-2}q^6a^{-2} + 2t^{-2}q^2 + t^{-3}q^4;0:00.32;False
